date,product_id,price,quantity_sold,channel,region,ad_spend
2023-01-01,PRO_RUN_SHOES,2551.87,31,Amazon,West,5274.09
2023-01-01,FITNESS_BAND,2900.18,9,Own_Website,South,6167.4
2023-01-01,FITNESS_BAND,3101.36,15,Flipkart,West,3488.8
2023-01-01,FITNESS_BAND,2930.62,28,Amazon,East,4997.49
2023-01-01,YOGA_MAT,1483.77,6,Own_Website,West,1964.67
2023-01-01,YOGA_MAT,1470.73,20,Amazon,North,1739.4
2023-01-01,SMART_WATCH,4380.89,3,Own_Website,East,2870.77
2023-01-01,YOGA_MAT,1485.29,18,Flipkart,East,2421.6
2023-01-01,SMART_WATCH,4650.4,21,Amazon,North,5291.96
2023-01-01,CRICKET_JERSEY,1219.04,3,Own_Website,North,881.35
2023-01-01,CRICKET_JERSEY,1219.41,14,Flipkart,North,1418.67
2023-01-01,CRICKET_JERSEY,1181.52,20,Amazon,East,1627.96
2023-01-01,PRO_RUN_SHOES,2420.67,1,Own_Website,West,533.28
2023-01-01,PRO_RUN_SHOES,2404.65,23,Flipkart,West,5036.69
2023-01-01,SMART_WATCH,4313.57,9,Flipkart,North,2872.8
2023-01-02,YOGA_MAT,1438.23,18,Amazon,North,1814.81
2023-01-02,FITNESS_BAND,2869.57,2,Own_Website,North,1333.19
2023-01-02,FITNESS_BAND,3124.48,17,Flipkart,North,3433.99
2023-01-02,FITNESS_BAND,3021.63,24,Amazon,South,4715.68
2023-01-02,YOGA_MAT,1477.95,2,Own_Website,West,742.86
2023-01-02,YOGA_MAT,1504.91,6,Flipkart,East,655.0
2023-01-02,SMART_WATCH,4354.99,8,Own_Website,North,8073.52
2023-01-02,PRO_RUN_SHOES,2465.5,7,Own_Website,South,3787.43
2023-01-02,SMART_WATCH,4582.7,20,Amazon,South,5979.08
2023-01-02,CRICKET_JERSEY,1242.68,5,Flipkart,South,388.33
2023-01-02,CRICKET_JERSEY,1230.43,3,Amazon,West,184.39
2023-01-02,PRO_RUN_SHOES,2403.87,24,Flipkart,East,3779.13
2023-01-02,PRO_RUN_SHOES,2416.43,35,Amazon,South,6207.64
2023-01-02,SMART_WATCH,4478.12,15,Flipkart,West,5035.41
2023-01-03,SMART_WATCH,4575.09,5,Own_Website,South,5072.57
2023-01-03,FITNESS_BAND,3002.12,5,Own_Website,East,3467.2
2023-01-03,FITNESS_BAND,2970.2,16,Flipkart,East,3759.36
2023-01-03,FITNESS_BAND,2951.79,23,Amazon,North,4434.33
2023-01-03,YOGA_MAT,1461.26,8,Own_Website,North,2931.19
2023-01-03,YOGA_MAT,1439.18,34,Amazon,South,3917.11
2023-01-03,SMART_WATCH,4461.22,18,Flipkart,West,5171.74
2023-01-03,YOGA_MAT,1568.5,15,Flipkart,North,1921.68
2023-01-03,CRICKET_JERSEY,1140.63,6,Own_Website,North,1563.85
2023-01-03,CRICKET_JERSEY,1148.65,9,Flipkart,West,679.18
2023-01-03,SMART_WATCH,4664.18,17,Amazon,West,4640.92
2023-01-03,CRICKET_JERSEY,1165.76,14,Amazon,West,1070.37
2023-01-03,PRO_RUN_SHOES,2544.49,4,Own_Website,West,2475.99
2023-01-03,PRO_RUN_SHOES,2384.02,24,Flipkart,West,3718.27
2023-01-03,PRO_RUN_SHOES,2432.45,29,Amazon,North,4655.21
2023-01-04,FITNESS_BAND,3122.17,22,Flipkart,North,5486.87
2023-01-04,FITNESS_BAND,2969.07,32,Amazon,South,6435.13
2023-01-04,YOGA_MAT,1441.65,4,Own_Website,West,1267.2
2023-01-04,YOGA_MAT,1486.03,23,Flipkart,West,2653.81
2023-01-04,YOGA_MAT,1485.06,23,Amazon,North,1878.48
2023-01-04,SMART_WATCH,4425.23,3,Own_Website,West,3295.13
2023-01-04,SMART_WATCH,4487.09,23,Flipkart,South,7676.51
2023-01-04,FITNESS_BAND,2929.05,7,Own_Website,North,4923.2
2023-01-04,CRICKET_JERSEY,1171.7,2,Own_Website,East,520.2
2023-01-04,CRICKET_JERSEY,1229.25,8,Flipkart,West,651.02
2023-01-04,CRICKET_JERSEY,1199.44,11,Amazon,North,767.24
2023-01-04,PRO_RUN_SHOES,2422.96,3,Own_Website,South,1847.5
2023-01-04,PRO_RUN_SHOES,2569.98,19,Flipkart,South,3282.04
2023-01-04,PRO_RUN_SHOES,2384.03,23,Amazon,North,2912.85
